"","Player","Min","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"163","Alphonse Areola",107,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,NA
"164","Alphonso Davies",1632,1,0,0,10,22,4,17,23,20,0,0,0,144,5,8,NA
"165","Álvaro Aguado",747,1,0,0,4,9,0,18,5,1,0,1,0,45,8,9,NA
"166","Álvaro Fernández",360,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,NA
"167","Álvaro García",1095,2,0,0,16,14,4,57,7,9,1,0,0,61,4,4,NA
"168","Álvaro Giménez",17,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA
"169","Álvaro Morata",1210,3,0,0,25,29,18,5,0,6,0,0,0,36,33,18,NA
"170","Álvaro Negredo",410,0,0,0,3,5,3,0,0,4,0,0,0,7,20,10,NA
"171","Alvaro Sanz",14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"172","Álvaro Zamora",30,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"173","Amadou Haidara",736,3,0,0,10,5,0,2,13,9,0,1,0,68,7,15,NA
"174","Amadou Onana",1139,6,0,0,26,24,0,2,10,27,0,0,0,66,26,28,NA
"175","Amar Dedić",540,0,0,0,6,6,0,9,9,11,0,0,0,31,5,6,NA
"176","Amath",243,0,0,0,5,3,3,2,0,4,1,0,0,8,1,2,NA
"177","Amine Adli",476,0,0,0,16,11,4,7,2,5,0,1,0,25,6,8,NA
"178","Amine Gouiri",1014,1,0,0,17,6,5,11,3,4,1,0,0,26,12,21,NA
"179","Amine Harit",895,2,0,0,6,24,4,29,7,4,1,0,0,46,4,17,NA
"180","Amine Salama",532,0,0,0,2,5,2,3,2,3,0,0,0,13,6,11,NA
"181","Amir Rrahmani",981,2,0,0,7,7,1,1,3,8,0,0,0,60,34,22,680.3
