"","player_name","citizenship"
"553","Nathaniel Clyne","Grenada"
"554","Joel Ward","England"
"555","Cheick Doucouré","Mali"
"556","Jairo Riedewald","Netherlands"
"557","Jairo Riedewald","Suriname"
"558","Luka Milivojevic","Serbia"
"559","Will Hughes","England"
"560","James McArthur","Scotland"
"561","Michael Olise","France"
"562","Michael Olise","England"
"563","Jeffrey Schlupp","Ghana"
"564","Jeffrey Schlupp","Germany"
"565","Eberechi Eze","England"
"566","Eberechi Eze","Nigeria"
"567","Wilfried Zaha","Cote"
"568","Wilfried Zaha","d'Ivoire"
"569","Malcolm Ebiowei","England"
"570","Malcolm Ebiowei","Netherlands"
"571","Odsonne Edouard","France"
"572","Odsonne Edouard","French"
"573","Jean-Philippe Mateta","France"
"574","Jean-Philippe Mateta","DR"
"575","Jordan Ayew","Ghana"
"576","Jordan Ayew","France"
"577","Dean Henderson","England"
"578","Wayne Hennessey","Wales"
"579","Jordan Smith","England"
"580","Adnan Kanuric","Bosnia-Herzegovina"
"581","Adnan Kanuric","Austria"
"582","Moussa Niakhaté","Senegal"
"583","Moussa Niakhaté","France"
"584","Scott McKenna","Scotland"
"585","Loïc Badé","France"
"586","Loïc Badé","Cote"
"587","Joe Worrall","England"
"588","Willy Boly","Cote"
"589","Willy Boly","d'Ivoire"
"590","Steve Cook","England"
"591","Loïc Mbe Soh","France"
"592","Loïc Mbe Soh","Cameroon"
"593","Renan Lodi","Brazil"
"594","Renan Lodi","Italy"
"595","Omar Richards","England"
"596","Omar Richards","Jamaica"
"597","Harry Toffolo","England"
"598","Neco Williams","Wales"
"599","Giulian Biancone","France"
"600","Serge Aurier","Cote"
"601","Serge Aurier","d'Ivoire"
"602","Cheikhou Kouyaté","Senegal"
"603","Cheikhou Kouyaté","Belgium"
"604","Jack Colback","England"
"605","Remo Freuler","Switzerland"
"606","Orel Mangala","Belgium"
"607","Orel Mangala","DR"
"608","Lewis O'Brien","England"
"609","Ryan Yates","England"
"610","Cafú","Portugal"
"611","Cafú","Guinea-Bissau"
"612","Harry Arter","Ireland"
"613","Harry Arter","England"
"614","Morgan Gibbs-White","England"
"615","Morgan Gibbs-White","Jamaica"
